"Player","Window","Sport","from","","to"
"Salahadin Allah","2026","Football","Oregon State","","Iowa State"
"Justin Ross","2026","Football","Navy","","Virginia"
"Jason Oliver","2026","Football","Sacramento State","","San Diego State"
"DJ Kelly","2026","Football","Toledo","","James Madison"
"Nick Herman","2026","Football","Drake","","James Madison"
"Chris Kalu","2026","Football","Western New Mexico","","Nevada"
"RJ Chapman","2026","Football","Merrimack","","New Mexico State"
"Jamai East","2026","Football","Oregon State","","Eastern Washington"
"Justin Montgomery","2026","Football","Presbyterian","","West Georgia"
"Tre Leonard","2026","Football","James Madison","","Prairie View A&M"
"Fabian Duncan","2026","Football","Allen","","Johnson C. Smith"
"Quory Ambrose","2026","Football","Presbyterian","","Harding"
"Jaden Turner","2026","Football","Iowa Central CC","","UTGRV"